date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:54:35	16269/16269	---M--	200	added ('OK')	text/html	date:Mon,%2013%20Sep%202021%2021:05:17%20GMT	https://serviexpert.com/	/home/bengala/websites/servitodo/serviexpert.com/index.html	(from )
05:54:35	110/110	---M--	200	added ('OK')	text/plain	date:Mon,%2006%20Dec%202021%2020:36:04%20GMT	https://serviexpert.com/robots.txt		(from )
05:54:35	5185/5185	---M--	200	added ('OK')	text/css	date:Mon,%2013%20Sep%202021%2021:16:59%20GMT	https://serviexpert.com/css/style.css	/home/bengala/websites/servitodo/serviexpert.com/css/style.css	(from https://serviexpert.com/)
05:54:37	155764/155764	---M--	200	added ('OK')	text/css	date:Mon,%2006%20Dec%202021%2020:41:00%20GMT	https://serviexpert.com/css/bootstrap.min.css	/home/bengala/websites/servitodo/serviexpert.com/css/bootstrap.min.css	(from https://serviexpert.com/)
05:54:37	5401/5401	---M--	200	added ('OK')	image/jpeg	date:Tue,%2007%20Sep%202021%2020:02:42%20GMT	https://serviexpert.com/img/logo_Serviexpert.jpg	/home/bengala/websites/servitodo/serviexpert.com/img/logo_Serviexpert.jpg	(from https://serviexpert.com/)
05:54:38	2227/2227	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Sep%202021%2020:02:41%20GMT	https://serviexpert.com/img/ic_fontaneria.png	/home/bengala/websites/servitodo/serviexpert.com/img/ic_fontaneria.png	(from https://serviexpert.com/)
05:54:39	2047/2047	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Sep%202021%2020:02:41%20GMT	https://serviexpert.com/img/ic_electricidad.png	/home/bengala/websites/servitodo/serviexpert.com/img/ic_electricidad.png	(from https://serviexpert.com/)
05:54:40	1799/1799	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Sep%202021%2020:02:42%20GMT	https://serviexpert.com/img/ic_impermeabilizante.png	/home/bengala/websites/servitodo/serviexpert.com/img/ic_impermeabilizante.png	(from https://serviexpert.com/)
05:54:41	2059/2059	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Sep%202021%2020:02:42%20GMT	https://serviexpert.com/img/ic_tinacos.png	/home/bengala/websites/servitodo/serviexpert.com/img/ic_tinacos.png	(from https://serviexpert.com/)
05:54:42	1734/1734	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Sep%202021%2020:02:41%20GMT	https://serviexpert.com/img/ic_aires.png	/home/bengala/websites/servitodo/serviexpert.com/img/ic_aires.png	(from https://serviexpert.com/)
